Date,Order,Shares,Symbol
2010-02-01,BUY,100,IBM
2010-02-02,SELL,100,IBM
2010-04-16,SELL,100,IBM
2010-04-20,BUY,100,IBM
2010-08-25,BUY,100,IBM
2010-09-01,SELL,100,IBM
2010-11-08,SELL,100,IBM
2010-11-12,BUY,100,IBM
2010-12-30,SELL,100,IBM
2011-01-11,BUY,100,IBM
2011-01-26,SELL,100,IBM
2011-02-10,BUY,100,IBM
2011-03-18,BUY,100,IBM
2011-03-21,SELL,100,IBM
2011-04-25,SELL,100,IBM
2011-05-05,BUY,100,IBM
2011-06-06,BUY,100,IBM
2011-06-17,SELL,100,IBM
2011-07-07,SELL,100,IBM
2011-07-12,BUY,100,IBM
2011-07-20,SELL,100,IBM
2011-07-27,BUY,100,IBM
2011-08-09,BUY,100,IBM
2011-08-15,SELL,100,IBM
2011-08-22,BUY,100,IBM
2011-08-23,SELL,100,IBM
2011-10-11,SELL,100,IBM
2011-10-18,BUY,100,IBM
