Date,Order,Shares,Symbol
2008-02-28,SELL,100,IBM
2008-03-27,BUY,100,IBM
2008-04-22,SELL,100,IBM
2008-05-21,BUY,100,IBM
2008-07-01,BUY,100,IBM
2008-07-08,SELL,100,IBM
2008-07-21,SELL,100,IBM
2008-08-11,BUY,100,IBM
2008-08-21,BUY,100,IBM
2008-09-19,SELL,100,IBM
2008-10-10,BUY,100,IBM
2008-10-30,SELL,100,IBM
2008-11-21,BUY,100,IBM
2008-12-03,SELL,100,IBM
2009-01-07,SELL,100,IBM
2009-01-14,BUY,100,IBM
2009-01-22,SELL,100,IBM
2009-02-17,BUY,100,IBM
2009-02-24,BUY,100,IBM
2009-02-27,SELL,100,IBM
2009-03-25,SELL,100,IBM
2009-04-27,BUY,100,IBM
2009-04-30,SELL,100,IBM
2009-05-08,BUY,100,IBM
2009-06-02,SELL,100,IBM
2009-06-18,BUY,100,IBM
2009-07-08,BUY,100,IBM
2009-07-15,SELL,100,IBM
2009-07-22,SELL,100,IBM
2009-08-17,BUY,100,IBM
2009-09-03,BUY,100,IBM
2009-09-11,SELL,100,IBM
2009-09-18,SELL,100,IBM
2009-09-29,BUY,100,IBM
2009-10-15,SELL,100,IBM
2009-10-16,BUY,100,IBM
2009-12-14,SELL,100,IBM
2009-12-17,BUY,100,IBM
2009-12-29,SELL,100,IBM
