Date,Order,Shares,Symbol
2010-01-19,BUY,100,IBM
2010-01-27,SELL,100,IBM
2010-02-01,SELL,100,IBM
2010-02-09,BUY,100,IBM
2010-02-10,SELL,100,IBM
2010-02-19,BUY,100,IBM
2010-02-23,BUY,100,IBM
2010-03-05,SELL,100,IBM
2010-03-08,BUY,100,IBM
2010-03-16,SELL,100,IBM
2010-03-17,BUY,100,IBM
2010-03-25,SELL,100,IBM
2010-03-26,SELL,100,IBM
2010-04-06,BUY,100,IBM
2010-04-07,BUY,100,IBM
2010-04-15,SELL,100,IBM
2010-04-19,SELL,100,IBM
2010-04-27,BUY,100,IBM
2010-04-29,BUY,100,IBM
2010-05-10,SELL,100,IBM
2010-05-12,SELL,100,IBM
2010-05-20,BUY,100,IBM
2010-05-24,BUY,100,IBM
2010-06-02,SELL,100,IBM
2010-06-07,BUY,100,IBM
2010-06-15,SELL,100,IBM
2010-06-16,SELL,100,IBM
2010-06-24,BUY,100,IBM
2010-06-28,BUY,100,IBM
2010-07-07,SELL,100,IBM
2010-07-08,SELL,100,IBM
2010-07-16,BUY,100,IBM
2010-07-19,BUY,100,IBM
2010-07-27,SELL,100,IBM
2010-07-28,SELL,100,IBM
2010-08-05,BUY,100,IBM
2010-08-09,SELL,100,IBM
2010-08-17,BUY,100,IBM
2010-08-18,SELL,100,IBM
2010-08-26,BUY,100,IBM
2010-08-27,BUY,100,IBM
2010-09-07,SELL,100,IBM
2010-09-08,SELL,100,IBM
2010-09-16,BUY,100,IBM
2010-09-30,BUY,100,IBM
2010-10-08,SELL,100,IBM
2010-10-18,SELL,100,IBM
2010-10-26,BUY,100,IBM
2010-10-28,BUY,100,IBM
2010-11-05,SELL,100,IBM
2010-11-11,BUY,100,IBM
2010-11-19,SELL,100,IBM
2010-11-22,BUY,100,IBM
2010-12-01,SELL,100,IBM
2010-12-03,BUY,100,IBM
2010-12-13,SELL,100,IBM
2010-12-14,SELL,100,IBM
2010-12-22,BUY,100,IBM
2010-12-23,SELL,100,IBM
